類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,生鮮食品及びエネルギーを除く総合
Group/Item,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication,"All items, less fresh food and energy"
類・品目符号(Group/Item code),0001,0161,0163,0166,0168,0002,0157,0172,0003,0008,0158,0013,0016,0021,0159,0027,0160,0030,0033,0034,0037,0041,0042,0045,0164,0046,0165,0051,0054,0056,0057,0058,0059,0060,0061,0066,0070,0073,0077,0081,0082,0083,0084,0085,0089,0090,0094,0098,0103,0106,0107,0108,0109,0110,0111,0112,0113,0117,0118,0119,0120,0121,0122,0123,0128,0134,0138,0145,0146,0147,0151,0155,0156,0167,0162,0173,0169,0178
含類総連番(Serial number),001,737,739,742,744,002,733,738,003,023,734,058,070,083,735,134,736,155,178,196,223,242,252,281,740,282,741,290,309,310,312,315,317,320,321,338,343,349,364,379,387,388,389,392,422,423,440,451,458,466,471,472,486,498,504,505,523,549,557,558,570,573,577,578,590,627,639,677,678,685,710,722,725,743,745,746,747,748
ウエイト(Weight),3139338474,3009367190,2668838854,2538867570,2107447669,823299511,129971284,693328227,65389146,68447756,39086504,75209191,36889047,90574112,60452893,32769540,30431887,35836771,73198122,98126000,46006658,37391064,163462104,655327030,184827410,559486051,88986431,95840979,233875366,111648533,56834114,12906356,52486363,109278268,34954064,7781194,8410744,22491850,27147399,8493017,129371336,54513682,2027016,52486666,38501053,27242580,11258473,18059053,10788628,7508920,134980143,38000505,22521064,74458574,463398213,70276282,262595081,130526850,99303039,67705449,2536232,29061358,310444582,18581565,65856101,40075190,185931726,180060986,37057751,45383296,20694853,13713124,63211962,245982358,125483076,340697488,149285881,2763384832
ウエイト１万分比(Weight per 10000),10000,9586,8501,8087,6713,2623,414,2209,208,218,125,240,118,289,193,104,97,114,233,313,147,119,521,2087,589,1782,283,305,745,356,181,41,167,348,111,25,27,72,86,27,412,174,6,167,123,87,36,58,34,24,430,121,72,237,1476,224,836,416,316,216,8,93,989,59,210,128,592,574,118,145,66,44,201,784,400,1085,476,8802
197001,30.8,31.0,31.2,31.5,31.0,29.8,26.3,30.7,34.9,22.8,24.6,35.8,50.5,24.5,25.2,32.2,31.5,45.5,27.3,20.6,52.0,43.9,23.0,25.5,23.9,27.4,29.4,19.2,29.8,54.1,24.6,17.5,,72.6,205.0,66.3,61.0,29.9,66.2,18.0,27.5,25.1,22.3,26.4,30.2,28.9,30.6,27.9,37.2,24.5,36.9,48.4,50.7,26.3,38.5,19.4,46.4,79.3,13.6,11.9,26.6,,38.9,1985.2,37.1,19.0,23.7,27.2,14.5,66.3,24.4,23.5,10.5,34.5,,,,30.8
197002,30.9,31.0,31.4,31.5,31.1,30.0,27.1,30.8,35.0,22.4,23.8,35.8,50.3,25.4,27.1,33.5,32.9,45.6,27.5,21.5,52.0,43.9,23.0,25.6,24.0,27.5,29.6,19.4,29.8,54.1,24.7,17.7,,72.6,205.4,66.4,60.7,30.0,66.4,18.2,27.1,24.5,22.1,25.5,30.2,28.7,30.7,28.0,37.3,24.5,39.2,48.4,50.7,28.8,38.7,19.5,46.4,79.3,13.6,11.9,26.6,,39.1,1980.9,37.7,19.2,23.8,27.3,14.7,66.5,24.6,23.5,10.5,34.6,,,,30.9
197003,31.2,31.1,31.6,31.6,31.2,30.4,28.9,30.7,35.0,22.8,24.4,35.6,49.2,26.7,29.4,36.5,35.9,45.6,27.7,22.4,52.1,43.9,23.2,25.8,24.2,27.7,29.8,19.5,29.9,54.1,24.7,17.7,,73.1,207.2,66.7,60.7,30.1,66.6,18.2,27.3,24.6,22.2,25.6,30.2,28.7,30.9,28.3,37.4,24.7,39.2,48.5,50.9,28.8,38.7,19.7,46.6,79.3,13.6,11.9,26.6,,39.1,1978.8,37.9,19.1,23.8,27.5,14.8,66.8,24.8,23.5,10.5,34.6,,,,31.0
197004,31.5,31.4,31.9,31.9,31.5,30.7,29.6,30.8,35.1,22.4,23.6,35.8,47.8,27.9,31.7,37.0,36.4,45.9,27.8,24.4,52.2,43.9,23.4,26.1,24.4,28.0,30.0,19.9,30.0,54.1,24.7,17.7,,73.6,209.9,67.1,60.9,30.3,66.6,18.4,27.8,25.3,22.0,26.8,30.3,28.8,31.1,28.6,37.7,25.0,39.3,48.5,51.3,28.8,38.9,19.7,46.8,79.3,14.1,12.4,26.6,,39.7,1978.8,37.7,19.2,24.7,27.6,15.0,67.1,25.1,23.5,10.5,34.7,,,,31.3
197005,31.3,31.5,31.8,32.0,31.7,30.2,27.4,30.9,35.2,22.0,22.7,36.0,45.4,26.6,29.5,33.0,32.3,46.2,27.9,25.3,52.5,43.9,23.7,26.3,24.6,28.2,30.3,19.9,29.9,54.1,24.5,17.7,,73.9,209.9,68.2,60.7,30.5,66.7,18.4,28.3,26.1,21.9,28.0,30.5,28.7,31.5,28.8,37.8,25.3,39.3,48.5,51.5,28.8,39.0,19.7,46.9,79.3,14.1,12.4,26.6,,39.7,1976.6,37.7,19.1,24.7,27.8,15.2,67.6,25.1,23.5,10.5,34.6,,,,31.4
