Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=368db29c0beb806ab3da415950bfd6f9&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=ICP&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691209&legendRef=reference&legendPub=published&legendNor=,,
,ICP.M.U2.N.XEF000.4.ANR,ICP.M.U2.N.XEF000.4.INX
,"Monthly, Euro area (changing composition), HICP - All-items excluding energy and food, Annual rate of change","Monthly, Euro area (changing composition), HICP - All-items excluding energy and food, Monthly Index"
Collection:,Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percentage change ],[2015 = 100]
2020/12/31,,
2020/10/31,0.2,105.07
2020/9/30,0.2,104.94
2020/8/31,0.4,104.71
2020/7/31,1.2,105.31
2020/6/30,0.8,105.59
2020/5/31,0.9,105.26
2020/4/30,0.9,105.26
2020/3/31,1,104.49
2020/2/29,1.2,103.31
2020/1/31,1.1,102.91
2019/12/31,1.3,104.69
2019/11/30,1.3,104.27
2019/10/31,1.1,104.83
2019/9/30,1,104.71
2019/8/31,0.9,104.32
2019/7/31,0.9,104.08
2019/6/30,1.1,104.72
2019/5/31,0.8,104.32
2019/4/30,1.3,104.37
2019/3/31,0.8,103.42
2019/2/28,1,102.07
2019/1/31,1.1,101.8
2018/12/31,0.9,103.35
2018/11/30,0.9,102.92
2018/10/31,1.2,103.72
2018/9/30,1,103.66
2018/8/31,1,103.34
2018/7/31,1.1,103.18
2018/6/30,1,103.56
2018/5/31,1.2,103.51
2018/4/30,0.7,103.04
2018/3/31,1.1,102.63
2018/2/28,1,101.07
2018/1/31,1,100.67
2017/12/31,0.9,102.4
2017/11/30,0.9,101.97
2017/10/31,0.9,102.51
2017/9/30,1.2,102.68
2017/8/31,1.2,102.28
2017/7/31,1.2,102.02
2017/6/30,1.2,102.57
2017/5/31,0.9,102.25
2017/4/30,1.3,102.29
2017/3/31,0.7,101.5
2017/2/28,0.8,100.07
2017/1/31,0.9,99.7
2016/12/31,0.9,101.47
2016/11/30,0.8,101.04
