Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=F17273070163835687F8D92B007FDB86?SERIES_KEY=123.ILM.M.U2.C.LT00001.Z5.EUR
,ILM.M.U2.C.LT00001.Z5.EUR
,"Euro area (changing composition), Eurosystem reporting sector - Base money [sum(L010000 and L020100 and L020200)], Euro - World not allocated (geographically) counterpart"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
2020Sep,4420093
2020Jul,4067518
2020Jun,3614386
2020May,3413836
2020Mar,3164097
2020Jan,3160564
2019Dec,3182895
2019Oct,3097801
2019Sep,3138333
2019Jul,3147357
2019Jun,3234726
2019Apr,3214417
2019Mar,3211686
2019Jan,3190915
2018Dec,3217721
2018Oct,3195074
2018Sep,3212047
2018Jul,3142098
2018Jun,3183799
2018May,3122329
2018Mar,3150081
2018Jan,3122479
2017Dec,3138794
2017Oct,3044181
2017Sep,2996701
2017Jul,2900841
2017Jun,2898485
2017May,2749424
2017Mar,2550937
2017Jan,2472615
2016Dec,2366303
2016Oct,2259372
2016Sep,2200150
2016Jul,2067693
2016Jun,2009398
2016Apr,1901262
2016Mar,1850448
2016Jan,1826466
2015Dec,1723357
2015Oct,1670509
2015Sep,1631786
2015Jul,1527158
2015Jun,1430509
2015Apr,1346375
2015Mar,1273080
2015Jan,1292102
2014Dec,1192512
2014Nov,1192818
2014Oct,1188228
2014Sep,1207122
2014Aug,1202497
2014Jul,1196267
2014Jun,1171555
2014May,1168842
2014Apr,1162843
2014Mar,1162787
2014Feb,1189952
2014Jan,1256049
2013Dec,1194434
2013Nov,1217405
2013Oct,1245577
2013Sep,1274160
2013Aug,1269797
2013Jul,1287884
2013Jun,1294876
2013May,1333817
2013Apr,1369052
2013Mar,1428842
2013Feb,1534126
2013Jan,1630913
2012Dec,1630969
2012Nov,1675264
2012Oct,1736211
2012Sep,1766244
2012Aug,1750966
2012Jul,1774568
2012Jun,1762300
2012May,1754619
2012Apr,1752124
2012Mar,1598632
2012Feb,1467124
2012Jan,1495303
2011Dec,1335315
2011Nov,1274846
2011Oct,1232234
2011Sep,1184512
2011Aug,1122369
2011Jul,1086629
2011Jun,1063970
2011May,1066095
2011Apr,1057860
2011Mar,1060713
2011Feb,1074832
2011Jan,1112664
2010Dec,1073068
2010Nov,1070684
2010Oct,1096072
2010Sep,1114968
2010Aug,1131735
2010Jul,1257789
2010Jun,1307508
2010May,1227219
2010Apr,1206124
2010Mar,1182899
2010Feb,1162760
2010Jan,1155017
2009Dec,1052340
2009Nov,1069955
2009Oct,1093090
2009Sep,1122684
2009Aug,1172804
2009Jul,1102021
2009Jun,999984
2009May,1021015
2009Apr,1026643
2009Mar,1055540
2009Feb,1137721
2009Jan,1213077
2008Dec,1150668
2008Nov,1154417
2008Oct,921021
2008Sep,899514
2008Aug,901189
2008Jul,890260
2008Jun,879685
2008May,876567
2008Apr,870291
2008Mar,858734
2008Feb,854490
2008Jan,870184
2007Dec,841899
2007Nov,835095
2007Oct,832256
2007Sep,832383
2007Aug,832071
2007Jul,821214
2007Jun,811720
2007May,803766
2007Apr,797746
2007Mar,787231
2007Feb,781179
2007Jan,794911
2006Dec,771805
2006Nov,759833
2006Oct,755745
2006Sep,755179
2006Aug,755411
2006Jul,745722
2006Jun,735411
2006May,730499
2006Apr,716217
2006Mar,709223
2006Feb,703865
2006Jan,713312
2005Dec,692918
2005Nov,685961
2005Oct,683139
2005Sep,681834
2005Aug,682676
2005Jul,670640
2005Jun,658470
2005May,649685
2005Apr,642042
2005Mar,630917
2005Feb,627198
2005Jan,635205
2004Dec,614084
2004Nov,608441
2004Oct,604422
2004Sep,602285
2004Aug,600082
2004Jul,588052
2004Jun,580089
2004May,571496
2004Apr,560990
2004Mar,552309
2004Jan,561350
2003Dec,548711
2003Nov,531415
2003Oct,527537
2003Sep,524244
2003Aug,524568
2003Jul,515188
2003Jun,505317
2003May,497303
2003Apr,489342
2003Mar,477515
2003Feb,472153
2003Jan,485761
2002Dec,480453
2002Nov,463416
2002Oct,457613
2002Sep,453421
2002Aug,452785
2002Jul,444957
2002Jun,433017
2002May,425636
2002Apr,417317
2002Mar,415566
2002Feb,438804
2002Jan,475201
2001Dec,426215
2001Nov,438292
2001Oct,450385
2001Sep,461883
2001Aug,475596
2001Jul,478320
2001Jun,477251
2001May,478051
2001Apr,476427
2001Mar,474515
2001Feb,475954
2001Jan,488025
2000Dec,478001
2000Nov,468602
2000Oct,469089
2000Sep,468316
2000Aug,471889
2000Jul,471728
2000Jun,469067
2000May,468184
2000Apr,460286
2000Mar,456443
2000Feb,455862
2000Jan,472261
1999Dec,460847
1999Nov,447618
1999Oct,446653
1999Sep,446010
1999Aug,449359
1999Jul,445598
1999Jun,439559
1999May,435509
1999Apr,432341
1999Mar,430515
1999Feb,426644
